Team,Conference,Current coach,DOB,Month,Day,Year,Since,M_D_DOB,Sign,Chinese Zodiac,Age
Alcorn State Braves,Southwestern Athletic Conference,Montez Robinson,1/17/1943,1,17,1943,2015–16,117,Capricorn,Goat,76
Syracuse Orange,Atlantic Coast Conference,Jim Boeheim,11/17/1944,11,17,1944,1976–77,1117,Scorpio,Monkey,75
Coastal Carolina Chanticleers,Sun Belt Conference,Cliff Ellis,12/5/1945,12,5,1945,2007–08,1205,Sagittarius,Rooster,74
Duke Blue Devils,Atlantic Coast Conference,Mike Krzyzewski,2/13/1947,2,13,1947,1980–81,213,Aquarius,Pig,72
Marshall Thundering Herd,Conference USA,Dan D'Antoni,7/9/1947,7,9,1947,2014–15,709,Cancer,Pig,72
Florida State Seminoles,Atlantic Coast Conference,Leonard Hamilton,8/4/1948,8,4,1948,2002–03,804,Leo,Rat,71
Lafayette Leopards,Patriot League,Fran O'Hanlon,8/24/1948,8,24,1948,1995–96,824,Virgo,Rat,71
Temple Owls,American Athletic Conference,Fran Dunphy,10/5/1948,10,5,1948,2006–07,1005,Libra,Rat,71
Idaho State Bengals,Big Sky Conference,Bill Evans,12/31/1948,12,31,1948,2012–13,1231,Capricorn,Rat,71
Miami Hurricanes,Atlantic Coast Conference,Jim Larrañaga,10/2/1949,10,2,1949,2011–12,1002,Libra,Ox,70
Davidson Wildcats,Atlantic 10 Conference,Bob McKillop,7/13/1950,7,13,1950,1989–90,713,Cancer,Tiger,69
North Carolina Tar Heels,Atlantic Coast Conference,Roy Williams,8/1/1950,8,1,1950,2003–04,801,Leo,Tiger,69
High Point Panthers,Big South Conference,Tubby Smith,6/30/1951,6,30,1951,2018–19,630,Cancer,Rabbit,68
Holy Cross Crusaders,Patriot League,Bill Carmody,12/4/1951,12,4,1951,2015–16,1204,Sagittarius,Rabbit,68
Kennesaw State Owls,Atlantic Sun Conference,Al Skinner,6/16/1952,6,16,1952,2015–16,616,Gemini,Dragon,67
Oklahoma Sooners,Big 12 Conference,Lon Kruger,8/19/1952,8,19,1952,2011–12,819,Leo,Dragon,67
Michigan Wolverines,Big Ten Conference,John Beilein,2/5/1953,2,5,1953,2007–08,205,Aquarius,Snake,66
Belmont Bruins,Ohio Valley Conference,Rick Byrd,4/30/1953,4,30,1953,1996–97,430,Taurus,Snake,66
West Virginia Mountaineers,Big 12 Conference,Bob Huggins,9/21/1953,9,21,1953,2007–08,921,Virgo,Snake,66
William & Mary Tribe,Colonial Athletic Association,Tony Shaver,1/28/1954,1,28,1954,2003–04,128,Aquarius,Horse,65
Tulane Green Wave,American Athletic Conference,Mike Dunleavy Sr.,3/21/1954,3,21,1954,2016–17,321,Aries,Horse,65
Florida A&M Rattlers,Mid-Eastern Athletic Conference,Robert McCullum,6/20/1954,6,20,1954,2017–18,620,Gemini,Horse,65
Tennessee Volunteers,Southeastern Conference,Rick Barnes,7/17/1954,7,17,1954,2015–16,717,Cancer,Horse,65
Saint Joseph's Hawks,Atlantic 10 Conference,Phil Martelli,8/31/1954,8,31,1954,1995–96,831,Virgo,Horse,65
Texas State Bobcats,Sun Belt Conference,Danny Kaspar,11/16/1954,11,16,1954,2013–14,1116,Scorpio,Horse,65
Washington State Cougars,Pac-12 Conference,Ernie Kent,1/22/1955,1,22,1955,2014–15,122,Aquarius,Goat,64
Michigan State Spartans,Big Ten Conference,Tom Izzo,1/30/1955,1,30,1955,1995–96,130,Aquarius,Goat,64
Houston Cougars,American Athletic Conference,Kelvin Sampson,10/5/1955,10,5,1955,2014–15,1005,Libra,Goat,64
Lamar Cardinals,Southland Conference,Tic Price,11/29/1955,11,29,1955,2014–15,1129,Sagittarius,Goat,64
Oakland Golden Grizzlies,Horizon League,Greg Kampe,12/5/1955,12,5,1955,1984–85,1205,Sagittarius,Goat,64
Northwestern State Demons,Southland Conference,Mike McConathy,12/27/1955,12,27,1955,1999–2000,1227,Capricorn,Goat,64
Hofstra Pride,Colonial Athletic Association,Joe Mihalich,8/29/1956,8,29,1956,2013–14,829,Virgo,Monkey,63
Kansas State Wildcats,Big 12 Conference,Bruce Weber,10/19/1956,10,19,1956,2012–13,1019,Libra,Monkey,63
Loyola Marymount Lions,West Coast Conference,Mike Dunlap,5/27/1957,5,27,1957,2014–15,527,Gemini,Rooster,62
Mississippi State Bulldogs,Southeastern Conference,Ben Howland,5/28/1957,5,28,1957,2015–16,528,Gemini,Rooster,62
Mercer Bears,Southern Conference,Bob Hoffman,7/18/1957,7,18,1957,2008–09,718,Cancer,Rooster,62
Sacramento State Hornets,Big Sky Conference,Brian Katz,11/15/1957,11,15,1957,2008–09,1115,Scorpio,Rooster,62
BYU Cougars,West Coast Conference,Dave Rose,12/19/1957,12,19,1957,2005–06,1219,Sagittarius,Rooster,62
New Hampshire Wildcats,America East Conference,Bill Herrion,4/6/1958,4,6,1958,2005–06,406,Aries,Dog,61
Oregon Ducks,Pac-12 Conference,Dana Altman,6/16/1958,6,16,1958,2010–11,616,Gemini,Dog,61
Duquesne Dukes,Atlantic 10 Conference,Keith Dambrot,10/26/1958,10,26,1958,2017–18,1026,Scorpio,Dog,61
Pepperdine Waves,West Coast Conference,Lorenzo Romar,11/13/1958,11,13,1958,2018–19,1113,Scorpio,Dog,61
Navy Midshipmen,Patriot League,Ed DeChellis,11/14/1958,11,14,1958,2011–12,1114,Scorpio,Dog,61
Kentucky Wildcats,Southeastern Conference,John Calipari,2/10/1959,2,10,1959,2009–10,210,Aquarius,Pig,60
Louisiana Ragin' Cajuns,Sun Belt Conference,Bob Marlin,3/5/1959,3,5,1959,2010–11,305,Pisces,Pig,60
Iona Gaels,Metro Atlantic Athletic Conference,Tim Cluess,3/9/1959,3,9,1959,2010–11,309,Pisces,Pig,60
Notre Dame Fighting Irish,Atlantic Coast Conference,Mike Brey,3/22/1959,3,22,1959,2000–01,322,Aries,Pig,60
Iowa Hawkeyes,Big Ten Conference,Fran McCaffery,5/23/1959,5,23,1959,2010–11,523,Gemini,Pig,60
SMU Mustangs,American Athletic Conference,Tim Jankovich,6/4/1959,6,4,1959,2016–17,604,Gemini,Pig,60
San Diego State Aztecs,Mountain West Conference,Brian Dutcher,10/30/1959,10,30,1959,2017–18,1030,Scorpio,Pig,60
Arkansas Razorbacks,Southeastern Conference,Mike Anderson,12/12/1959,12,12,1959,2011–12[a],1212,Sagittarius,Pig,60
Ole Miss Rebels,Southeastern Conference,Kermit Davis,12/14/1959,12,14,1959,2018–19,1214,Sagittarius,Pig,60
Western Kentucky Hilltoppers,Conference USA,Rick Stansbury,12/23/1959,12,23,1959,2016–17,1223,Capricorn,Pig,60
Auburn Tigers,Southeastern Conference,Bruce Pearl,3/18/1960,3,18,1960,2014–15,318,Pisces,Rat,59
Texas A&M–Corpus Christi Islanders,Southland Conference,Willis Wilson,3/22/1960,3,22,1960,2011–12,322,Aries,Rat,59
DePaul Blue Demons,Big East Conference,Dave Leitao,5/18/1960,5,18,1960,2015–16,518,Taurus,Rat,59
Southern Miss Golden Eagles,Conference USA,Doc Sadler,6/12/1960,6,12,1960,2014–15,612,Gemini,Rat,59
Weber State Wildcats,Big Sky Conference,Randy Rahe,6/12/1960,6,12,1960,2006–07,612,Gemini,Rat,59
Old Dominion Monarchs,Conference USA,Jeff Jones,6/29/1960,6,29,1960,2013–14,629,Cancer,Rat,59
Detroit Mercy Titans,Horizon League,Mike Davis,9/15/1960,9,15,1960,2018–19,915,Virgo,Rat,59
The Citadel Bulldogs,Southern Conference,Duggar Baucom,9/21/1960,9,21,1960,2015–16,921,Virgo,Rat,59
Louisiana–Monroe Warhawks,Sun Belt Conference,Keith Richard,10/1/1960,10,1,1960,2010–11,1001,Libra,Rat,59
Houston Baptist Huskies,Southland Conference,Ron Cottrell,10/11/1960,10,11,1960,2007–08,1011,Libra,Rat,59
Central Arkansas Bears,Southland Conference,Russ Pennell,11/28/1960,11,28,1960,2014–15,1128,Sagittarius,Rat,59
Canisius Golden Griffins,Metro Atlantic Athletic Conference,Reggie Witherspoon,2/21/1961,2,21,1961,2016–17,221,Pisces,Ox,58
Little Rock Trojans,Sun Belt Conference,Darrell Walker,3/9/1961,3,9,1961,2018–19,309,Pisces,Ox,58
Texas Southern Tigers,Southwestern Athletic Conference,Johnny Jones,3/30/1961,3,30,1961,2018–19,330,Aries,Ox,58
Fairleigh Dickinson Knights,Northeast Conference,Greg Herenda,4/2/1961,4,2,1961,2013–14,402,Aries,Ox,58
Northeastern Huskies,Colonial Athletic Association,Bill Coen,5/3/1961,5,3,1961,2006–07,503,Taurus,Ox,58
Southern Illinois Salukis,Missouri Valley Conference,Barry Hinson,5/12/1961,5,12,1961,2012–13,512,Taurus,Ox,58
Long Beach State 49ers,Big West Conference,Dan Monson,10/6/1961,10,6,1961,2007–08,1006,Libra,Ox,58
Jacksonville State Gamecocks,Ohio Valley Conference,Ray Harper,10/11/1961,10,11,1961,2016–17,1011,Libra,Ox,58
UNLV Runnin' Rebels,Mountain West Conference,Marvin Menzies,10/15/1961,10,15,1961,2016–17,1015,Libra,Ox,58
Villanova Wildcats,Big East Conference,Jay Wright,12/24/1961,12,24,1961,2001–02,1224,Capricorn,Ox,58
Penn Quakers,Ivy League,Steve Donahue,5/21/1962,5,21,1962,2015–16,521,Gemini,Tiger,57
Saint Mary's Gaels,West Coast Conference,Randy Bennett,6/9/1962,6,9,1962,2001–02,609,Gemini,Tiger,57
Western Michigan Broncos,Mid-American Conference,Steve Hawkins,8/3/1962,8,3,1962,2003–04,803,Leo,Tiger,57
Georgetown Hoyas,Big East Conference,Patrick Ewing,8/5/1962,8,5,1962,2017–18,805,Leo,Tiger,57
Alabama State Hornets,Southwestern Athletic Conference,Lewis Jackson,8/13/1962,8,13,1962,2005–06,813,Leo,Tiger,57
UIC Flames,Horizon League,Steve McClain,8/15/1962,8,15,1962,2015–16,815,Leo,Tiger,57
Cal Poly Mustangs,Big West Conference,Joe Callero,8/26/1962,8,26,1962,2009–10,826,Virgo,Tiger,57
Gonzaga Bulldogs,West Coast Conference,Mark Few,12/27/1962,12,27,1962,1999–2000,1227,Capricorn,Tiger,57
Kansas Jayhawks,Big 12 Conference,Bill Self,12/27/1962,12,27,1962,2003–04,1227,Capricorn,Tiger,57
Colorado Buffaloes,Pac-12 Conference,Tad Boyle,1/6/1963,1,6,1963,2010–11,106,Capricorn,Rabbit,56
St. Bonaventure Bonnies,Atlantic 10 Conference,Mark Schmidt,2/12/1963,2,12,1963,2007–08,212,Aquarius,Rabbit,56
Santa Clara Broncos,West Coast Conference,Herb Sendek,2/22/1963,2,22,1963,2016–17,222,Pisces,Rabbit,56
Wichita State Shockers,American Athletic Conference,Gregg Marshall,2/27/1963,2,27,1963,2007–08,227,Pisces,Rabbit,56
Portland Pilots,West Coast Conference,Terry Porter,4/8/1963,4,8,1963,2016–17,408,Aries,Rabbit,56
Wofford Terriers,Southern Conference,Mike Young,5/1/1963,5,1,1963,2002–03,501,Taurus,Rabbit,56
Cleveland State Vikings,Horizon League,Dennis Felton,6/21/1963,6,21,1963,2017–18,621,Cancer,Rabbit,56
St. John's Red Storm,Big East Conference,Chris Mullin,7/30/1963,7,30,1963,2015–16,730,Leo,Rabbit,56
UC Davis Aggies,Big West Conference,Jim Les,8/18/1963,8,18,1963,2011–12,818,Leo,Rabbit,56
UCF Knights,American Athletic Conference,Johnny Dawkins,9/28/1963,9,28,1963,2016–17,928,Libra,Rabbit,56
Niagara Purple Eagles,Metro Atlantic Athletic Conference,Chris Casey,10/15/1963,10,15,1963,2013–14,1015,Libra,Rabbit,56
Boise State Broncos,Mountain West Conference,Leon Rice,11/25/1963,11,25,1963,2010–11,1125,Sagittarius,Rabbit,56
Morgan State Bears,Mid-Eastern Athletic Conference,Todd Bozeman,12/5/1963,12,5,1963,2006–07,1205,Sagittarius,Rabbit,56
Illinois Fighting Illini,Big Ten Conference,Brad Underwood,12/14/1963,12,14,1963,2017–18,1214,Sagittarius,Rabbit,56
Cal State Northridge Matadors,Big West Conference,Mark Gottfried,1/20/1964,1,20,1964,2018–19,120,Aquarius,Dragon,55
Air Force Falcons,Mountain West Conference,Dave Pilipovich,1/28/1964,1,28,1964,2012–13,128,Aquarius,Dragon,55
Texas A&M Aggies,Southeastern Conference,Billy Kennedy,2/2/1964,2,2,1964,2011–12,202,Aquarius,Dragon,55
Yale Bulldogs,Ivy League,James Jones,2/20/1964,2,20,1964,1999–2000,220,Pisces,Dragon,55
Savannah State Tigers,Mid-Eastern Athletic Conference,Horace Broadnax,3/22/1964,3,22,1964,2005–06,322,Aries,Dragon,55
Georgia State Panthers,Sun Belt Conference,Ron Hunter,4/7/1964,4,7,1964,2011–12,407,Aries,Dragon,55
George Mason Patriots,Atlantic 10 Conference,Dave Paulsen,9/14/1964,9,14,1964,2015–16,914,Virgo,Dragon,55
St. Francis Brooklyn Terriers,Northeast Conference,Glenn Braica,9/16/1964,9,16,1964,2010–11,916,Virgo,Dragon,55
Utah Utes,Pac-12 Conference,Larry Krystkowiak,9/23/1964,9,23,1964,2011–12,923,Libra,Dragon,55
Howard Bison,Mid-Eastern Athletic Conference,Kevin Nickelberry,10/15/1964,10,15,1964,2010–11,1015,Libra,Dragon,55
Nevada Wolf Pack,Mountain West Conference,Eric Musselman,11/19/1964,11,19,1964,2015–16,1119,Scorpio,Dragon,55
UCLA Bruins,Pac-12 Conference,Steve Alford,11/23/1964,11,23,1964,2013–14,1123,Sagittarius,Dragon,55
Creighton Bluejays,Big East Conference,Greg McDermott,11/25/1964,11,25,1964,2010–11,1125,Sagittarius,Dragon,55
North Florida Ospreys,Atlantic Sun Conference,Matthew Driscoll,12/14/1964,12,14,1964,2009–10,1214,Sagittarius,Dragon,55
Maryland Terrapins,Big Ten Conference,Mark Turgeon,2/5/1965,2,5,1965,2011–12,205,Aquarius,Snake,54
Boston College Eagles,Atlantic Coast Conference,Jim Christian,2/6/1965,2,6,1965,2014–15,206,Aquarius,Snake,54
East Tennessee State Buccaneers,Southern Conference,Steve Forbes,3/22/1965,3,22,1965,2015–16,322,Aries,Snake,54
Alabama Crimson Tide,Southeastern Conference,Avery Johnson,3/25/1965,3,25,1965,2015–16,325,Aries,Snake,54
Maryland Eastern Shore Hawks,Mid-Eastern Athletic Conference,Clifford Reed,4/12/1965,4,12,1965,2018–19,412,Aries,Snake,54
Liberty Flames,Atlantic Sun Conference,Ritchie McKay,4/22/1965,4,22,1965,2015–16,422,Taurus,Snake,54
Radford Highlanders,Big South Conference,Mike Jones,4/30/1965,4,30,1965,2011–12,430,Taurus,Snake,54
Harvard Crimson,Ivy League,Tommy Amaker,6/6/1965,6,6,1965,2007–08,606,Gemini,Snake,54
Idaho Vandals,Big Sky Conference,Don Verlin,6/15/1965,6,15,1965,2008–09,615,Gemini,Snake,54
Arkansas–Pine Bluff Golden Lions,Southwestern Athletic Conference,George Ivory,8/7/1965,8,7,1965,2008–09,807,Leo,Snake,54
Grand Canyon Antelopes,Western Athletic Conference,Dan Majerle,9/9/1965,9,9,1965,2013–14,909,Virgo,Snake,54
Charleston Southern Buccaneers,Big South Conference,Barclay Radebaugh,9/14/1965,9,14,1965,2005–06,914,Virgo,Snake,54
Tulsa Golden Hurricane,American Athletic Conference,Frank Haith,11/3/1965,11,3,1965,2014–15,1103,Scorpio,Snake,54
Boston University Terriers,Patriot League,Joe Jones,11/9/1965,11,9,1965,2011–12,1109,Scorpio,Snake,54
TCU Horned Frogs,Big 12 Conference,Jamie Dixon,11/10/1965,11,10,1965,2016–17,1110,Scorpio,Snake,54
Southeastern Louisiana Lions,Southland Conference,Jay Ladner,12/8/1965,12,8,1965,2014–15,1208,Sagittarius,Snake,54
Montana State Bobcats,Big Sky Conference,Brian Fish,12/20/1965,12,20,1965,2014–15,1220,Sagittarius,Snake,54
Cal State Bakersfield Roadrunners,Western Athletic Conference,Rod Barnes,1/8/1966,1,8,1966,2011–12,108,Capricorn,Horse,53
Oregon State Beavers,Pac-12 Conference,Wayne Tinkle,1/26/1966,1,26,1966,2014–15,126,Aquarius,Horse,53
East Carolina Pirates,American Athletic Conference,Joe Dooley,1/29/1966,1,29,1966,2018–19[b],129,Aquarius,Horse,53
South Carolina Gamecocks,Southeastern Conference,Frank Martin,3/23/1966,3,23,1966,2012–13,323,Aries,Horse,53
Georgia Bulldogs,Southeastern Conference,Tom Crean,3/25/1966,3,25,1966,2018–19,325,Aries,Horse,53
Dayton Flyers,Atlantic 10 Conference,Anthony Grant,4/15/1966,4,15,1966,2017–18,415,Aries,Horse,53
Rider Broncs,Metro Atlantic Athletic Conference,Kevin Baggett,5/3/1966,5,3,1966,2012–13,503,Taurus,Horse,53
Wake Forest Demon Deacons,Atlantic Coast Conference,Danny Manning,5/17/1966,5,17,1966,2014–15,517,Taurus,Horse,53
Wright State Raiders,Horizon League,Scott Nagy,6/7/1966,6,7,1966,2016–17,607,Gemini,Horse,53
Toledo Rockets,Mid-American Conference,Tod Kowalczyk,6/19/1966,6,19,1966,2010–11,619,Gemini,Horse,53
Nebraska Cornhuskers,Big Ten Conference,Tim Miles,8/20/1966,8,20,1966,2012–13,820,Leo,Horse,53
Troy Trojans,Sun Belt Conference,Phil Cunningham,10/17/1966,10,17,1966,2013–14,1017,Libra,Horse,53
South Florida Bulls,American Athletic Conference,Brian Gregory,12/15/1966,12,15,1966,2017–18,1215,Sagittarius,Horse,53
South Carolina Upstate Spartans,Big South Conference,Dave Dickerson,3/29/1967,3,29,1967,2018–19,329,Aries,Goat,52
Seattle Redhawks,Western Athletic Conference,Jim Hayford,5/5/1967,5,5,1967,2017–18,505,Taurus,Goat,52
Rice Owls,Conference USA,Scott Pera,8/27/1967,8,27,1967,2017–18,827,Virgo,Goat,52
Rutgers Scarlet Knights,Big Ten Conference,Steve Pikiell,11/21/1967,11,21,1967,2016–17,1121,Scorpio,Goat,52
Indiana State Sycamores,Missouri Valley Conference,Greg Lansing,12/9/1967,12,9,1967,2010–11,1209,Sagittarius,Goat,52
Omaha Mavericks,Summit League,Derrin Hansen,12/15/1967,12,15,1967,2011–12,1215,Sagittarius,Goat,52
Stephen F. Austin Lumberjacks,Southland Conference,Kyle Keller,1/16/1968,1,16,1968,2016–17,116,Capricorn,Monkey,51
UTSA Roadrunners,Conference USA,Steve Henson,2/2/1968,2,2,1968,2016–17,202,Aquarius,Monkey,51
Tennessee Tech Golden Eagles,Ohio Valley Conference,Steve Payne,2/12/1968,2,12,1968,2011–12,212,Aquarius,Monkey,51
UTEP Miners,Conference USA,Rodney Terry,3/27/1968,3,27,1968,2018–19,327,Aries,Monkey,51
Vermont Catamounts,America East Conference,John Becker,4/17/1968,4,17,1968,2011–12,417,Aries,Monkey,51
Columbia Lions,Ivy League,Jim Engles,8/18/1968,8,18,1968,2016–17,818,Leo,Monkey,51
Loyola (Chicago) Ramblers,Missouri Valley Conference,Porter Moser,8/24/1968,8,24,1968,2011–12,824,Virgo,Monkey,51
Army Black Knights,Patriot League,Jimmy Allen,10/10/1968,10,10,1968,2016–17,1010,Libra,Monkey,51
Austin Peay Governors,Ohio Valley Conference,Matt Figger,10/10/1968,10,10,1968,2017–18,1010,Libra,Monkey,51
Charlotte 49ers,Conference USA,Ron Sanchez,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51
Chattanooga Mocs,Southern Conference,Lamont Paris,10/10/1968,10,10,1968,2017–18,1010,Libra,Monkey,51
Chicago State Cougars,Western Athletic Conference,Lance Irvin,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51
Cornell Big Red,Ivy League,Brian Earl,10/10/1968,10,10,1968,2016–17,1010,Libra,Monkey,51
Dartmouth Big Green,Ivy League,David McLaughlin,10/10/1968,10,10,1968,2016–17,1010,Libra,Monkey,51
Delaware State Hornets,Mid-Eastern Athletic Conference,Eric Skeeters,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51
Florida Atlantic Owls,Conference USA,Dusty May,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51
Jackson State Tigers,Southwestern Athletic Conference,Wayne Brent,10/10/1968,10,10,1968,2013–14,1010,Libra,Monkey,51
La Salle Explorers,Atlantic 10 Conference,Ashley Howard,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51
Longwood Lancers,Big South Conference,Griff Aldrich,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51
Mississippi Valley State Delta Devils,Southwestern Athletic Conference,Andre Payne,10/10/1968,10,10,1968,2014–15,1010,Libra,Monkey,51
Mount St. Mary's Mountaineers,Northeast Conference,Dan Engelstad,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51
NJIT Highlanders,Atlantic Sun Conference,Brian Kennedy,10/10/1968,10,10,1968,2016–17,1010,Libra,Monkey,51
North Alabama Lions,Atlantic Sun Conference,Tony Pujol,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51
North Carolina A&T Aggies,Mid-Eastern Athletic Conference,Jay Joyner,10/10/1968,10,10,1968,2015–16,1010,Libra,Monkey,51
Northern Colorado Bears,Big Sky Conference,Jeff Linder,10/10/1968,10,10,1968,2016–17,1010,Libra,Monkey,51
Presbyterian Blue Hose,Big South Conference,Dustin Kerns,10/10/1968,10,10,1968,2017–18,1010,Libra,Monkey,51
SIU Edwardsville Cougars,Ohio Valley Conference,Jon Harris,10/10/1968,10,10,1968,2015–16,1010,Libra,Monkey,51
South Dakota Coyotes,Summit League,Todd Lee,10/10/1968,10,10,1968,2018–19,1010,Libra,Monkey,51
