team,w_l,wins,losses,win_loss_pct,offensive_opp_pts,offensive_opp_ppg,defensive_opp_pts,defensive_opp_ppg,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_free_throws_made,total_free_throw_att,total_free_throw_pct,total_steals,steal_pct,total_assists,total_turnovers,turnover_ratio,total_blocks,total_block_pct,total_rebounds,average_rebounds,total_opp_rebounds,average_opp_rebounds,reb_margin
Southeast Mo. St.,21-Oct,10,21,32.3,2216,71.5,2378,76.7,796,1809,44,266,719,37,358,520,68.8,182,5.9,402,447,0.9,75,2.4,1081,34.9,1135,36.6,-1.7
Eastern Ill.,14-18,14,18,43.8,2299,71.8,2457,76.8,826,1912,43.2,272,735,37,375,545,68.8,200,6.3,434,427,1.02,120,3.8,1147,35.8,1186,37.1,-1.2
Oklahoma,19-11,19,11,63.3,2153,71.8,2043,68.1,780,1749,44.6,203,590,34.4,390,567,68.8,178,5.9,385,370,1.04,98,3.3,1136,37.9,1107,36.9,1
Dayton,20-10,20,10,66.7,2200,73.3,1974,65.8,821,1629,50.4,186,559,33.3,372,541,68.8,152,5.1,494,373,1.32,72,2.4,1047,34.9,963,32.1,2.8
Massachusetts,19-Nov,11,19,36.7,2124,70.8,2192,73.1,757,1712,44.2,237,678,35,373,543,68.7,149,5,449,412,1.09,83,2.8,1047,34.9,959,32,2.9
Chattanooga,19-Dec,12,19,38.7,2204,71.1,2308,74.5,811,1830,44.3,280,776,36.1,302,440,68.6,134,4.3,405,393,1.03,77,2.5,1062,34.3,1122,36.2,-1.9
UC Irvine,26-5,26,5,83.9,2235,72.1,1967,63.5,825,1815,45.5,211,586,36,374,545,68.6,178,5.7,413,379,1.09,133,4.3,1255,40.5,1023,33,7.5
Oklahoma St.,19-Nov,11,19,36.7,2023,67.4,2138,71.3,703,1674,42,261,700,37.3,356,519,68.6,168,5.6,391,371,1.05,121,4,1030,34.3,1078,35.9,-1.6
Tulane,25-Apr,4,25,13.8,1935,66.7,2238,77.2,678,1658,40.9,199,630,31.6,380,554,68.6,136,4.7,414,443,0.93,101,3.5,1063,36.7,1119,38.6,-1.9
Mercer,19-Nov,11,19,36.7,2174,72.5,2161,72,759,1691,44.9,224,647,34.6,432,630,68.6,197,6.6,382,393,0.97,80,2.7,1031,34.4,1060,35.3,-1
New Orleans,17-12,17,12,58.6,2080,71.7,2005,69.1,754,1697,44.4,162,491,33,410,598,68.6,265,9.1,437,461,0.95,124,4.3,1026,35.4,1034,35.7,-0.3
Southern Ill.,17-15,17,15,53.1,2194,68.6,2144,67,802,1720,46.6,213,570,37.4,377,550,68.5,212,6.6,438,448,0.98,129,4,1080,33.8,1047,32.7,1
Lamar University,18-12,18,12,60,2361,78.7,2109,70.3,815,1790,45.5,206,604,34.1,525,766,68.5,266,8.9,439,440,1,91,3,1159,38.6,962,32.1,6.6
George Washington,22-Aug,8,22,26.7,1907,63.6,2150,71.7,679,1664,40.8,181,574,31.5,368,537,68.5,150,5,336,385,0.87,85,2.8,1008,33.6,1119,37.3,-3.7
Ga. Southern,20-10,20,10,66.7,2502,83.4,2265,75.5,926,1833,50.5,189,570,33.2,461,673,68.5,239,8,376,413,0.91,116,3.9,1077,35.9,1045,34.8,1.1
Marist,19-Dec,12,19,38.7,2086,67.3,2147,69.3,739,1647,44.9,245,675,36.3,363,530,68.5,172,5.5,377,388,0.97,53,1.7,967,31.2,1015,32.7,-1.5
Hawaii,17-12,17,12,58.6,2104,72.6,2004,69.1,738,1630,45.3,252,704,35.8,376,549,68.5,151,5.2,452,341,1.33,61,2.1,976,33.7,948,32.7,1
Monmouth,20-Dec,12,20,37.5,2055,64.2,2258,70.6,710,1744,40.7,153,518,29.5,482,704,68.5,219,6.8,349,468,0.75,94,2.9,1120,35,1130,35.3,-0.3
Providence,16-14,16,14,53.3,2131,71,2090,69.7,735,1757,41.8,195,605,32.2,466,681,68.4,221,7.4,431,389,1.11,116,3.9,1102,36.7,1070,35.7,1.1
Boston U.,15-18,15,18,45.5,2385,72.3,2387,72.3,922,1923,47.9,221,639,34.6,320,468,68.4,199,6,447,424,1.05,73,2.2,1091,33.1,1028,31.2,1.9
Army West Point,13-19,13,19,40.6,2268,70.9,2305,72,837,1956,42.8,272,863,31.5,322,471,68.4,198,6.2,499,376,1.33,50,1.6,1125,35.2,1174,36.7,-1.5
Sacramento St.,14-14,14,14,50,1984,70.9,1930,68.9,729,1636,44.6,148,463,32,378,553,68.4,215,7.7,388,357,1.09,92,3.3,968,34.6,961,34.3,0.3
SFA,14-15,14,15,48.3,2048,70.6,2093,72.2,727,1647,44.1,188,563,33.4,406,594,68.4,188,6.5,338,431,0.78,109,3.8,980,33.8,1008,34.8,-1
UNLV,16-13,16,13,55.2,2156,74.3,2119,73.1,747,1737,43,239,702,34,423,619,68.3,178,6.1,376,383,0.98,109,3.8,1123,38.7,969,33.4,5.3
Cleveland St.,21-Oct,10,21,32.3,2300,74.2,2437,78.6,799,1834,43.6,303,820,37,399,585,68.2,174,5.6,460,412,1.12,97,3.1,1094,35.3,1210,39,-3.7
Delaware St.,24-May,5,24,17.2,1828,63,2229,76.9,648,1827,35.5,221,743,29.7,311,456,68.2,200,6.9,308,413,0.75,62,2.1,1063,36.7,1215,41.9,-5.2
UIC,16-16,16,16,50,2391,74.7,2385,74.5,865,1883,45.9,303,856,35.4,358,525,68.2,210,6.6,478,460,1.04,124,3.9,1106,34.6,1181,36.9,-2.3
East Carolina,19-Oct,10,19,34.5,1958,67.5,2144,73.9,703,1687,41.7,143,513,27.9,409,600,68.2,217,7.5,355,392,0.91,105,3.6,1006,34.7,1080,37.2,-2.6
UMBC,19-12,19,12,61.3,2095,67.6,1972,63.6,752,1732,43.4,242,739,32.7,349,512,68.2,244,7.9,414,392,1.06,74,2.4,1045,33.7,1038,33.5,0.2
West Virginia,18-Dec,12,18,40,2185,72.8,2296,76.5,729,1764,41.3,218,699,31.2,509,747,68.1,188,6.3,391,486,0.8,108,3.6,1176,39.2,1042,34.7,4.5
Rice,13-17,13,17,43.3,2232,74.4,2321,77.4,753,1757,42.9,262,751,34.9,464,681,68.1,155,5.2,400,410,0.98,101,3.4,1157,38.6,1096,36.5,2
UConn,14-16,14,16,46.7,2229,74.3,2124,70.8,805,1811,44.5,230,667,34.5,389,571,68.1,188,6.3,379,388,0.98,133,4.4,1077,35.9,1041,34.7,1.2
Syracuse,19-11,19,11,63.3,2101,70,1958,65.3,721,1703,42.3,235,728,32.3,424,623,68.1,246,8.2,367,363,1.01,145,4.8,1055,35.2,1107,36.9,-1.7
Montana,22-8,22,8,73.3,2299,76.6,2071,69,837,1698,49.3,244,649,37.6,381,560,68,191,6.4,432,361,1.2,88,2.9,1016,33.9,932,31.1,2.8
Fordham,18-Dec,12,18,40,2001,66.7,2017,67.2,718,1771,40.5,263,788,33.4,302,444,68,180,6,343,325,1.06,97,3.2,1006,33.5,1114,37.1,-3.6
South Carolina,15-15,15,15,50,2197,73.2,2197,73.2,766,1804,42.5,227,621,36.6,438,644,68,186,6.2,393,406,0.97,136,4.5,1086,36.2,1101,36.7,-0.5
Middle Tenn.,20-Oct,10,20,33.3,2032,67.7,2196,73.2,738,1749,42.2,197,599,32.9,359,528,68,182,6.1,330,484,0.68,79,2.6,1153,38.4,1049,35,3.5
Mt. St. Mary's,22-Sep,9,22,29,2092,67.5,2286,73.7,733,1755,41.8,223,723,30.8,403,594,67.8,146,4.7,354,410,0.86,107,3.5,1036,33.4,1148,37,-3.6
Vanderbilt,21-Sep,9,21,30,2069,69,2166,72.2,696,1648,42.2,218,694,31.4,459,677,67.8,136,4.5,358,431,0.83,121,4,1080,36,1060,35.3,0.7
Houston Baptist,16-Dec,12,16,42.9,2317,82.8,2327,83.1,817,1769,46.2,184,544,33.8,499,736,67.8,221,7.9,419,426,0.98,52,1.9,1076,38.4,965,34.5,4
New Mexico St.,26-4,26,4,86.7,2328,77.6,1940,64.7,819,1798,45.6,267,821,32.5,423,624,67.8,178,5.9,436,363,1.2,75,2.5,1142,38.1,864,28.8,9.3
Ark.-Pine Bluff,18-Dec,12,18,40,1965,65.5,2153,71.8,666,1567,42.5,181,538,33.6,452,667,67.8,201,6.7,348,458,0.76,100,3.3,995,33.2,1016,33.9,-0.7
Minnesota,19-12,19,12,61.3,2206,71.2,2131,68.7,766,1757,43.6,168,518,32.4,506,747,67.7,152,4.9,454,381,1.19,129,4.2,1164,37.5,1060,34.2,3.4
St. Francis Brooklyn,17-15,17,15,53.1,2273,71,2239,70,814,1926,42.3,259,777,33.3,386,570,67.7,189,5.9,369,403,0.92,129,4,1163,36.3,1195,37.3,-1
High Point,16-15,16,15,51.6,2115,68.2,2105,67.9,763,1719,44.4,180,583,30.9,409,604,67.7,170,5.5,404,406,1,91,2.9,1183,38.2,970,31.3,6.9
Jacksonville,20-Dec,12,20,37.5,2385,74.5,2402,75.1,889,1954,45.5,213,645,33,394,582,67.7,213,6.7,457,463,0.99,166,5.2,1165,36.4,1141,35.7,0.8
Grambling,15-15,15,15,50,2157,71.9,2071,69,741,1640,45.2,200,496,40.3,475,702,67.7,181,6,374,478,0.78,132,4.4,1143,38.1,1114,37.1,1
Charleston So.,17-15,17,15,53.1,2439,76.2,2230,69.7,871,2032,42.9,317,901,35.2,380,562,67.6,252,7.9,459,414,1.11,106,3.3,1200,37.5,1156,36.1,1.4
Stanford,15-15,15,15,50,2183,72.8,2148,71.6,781,1707,45.8,200,628,31.8,421,623,67.6,179,6,381,457,0.83,138,4.6,1100,36.7,1032,34.4,2.3
South Alabama,14-16,14,16,46.7,2188,72.9,2179,72.6,770,1678,45.9,246,678,36.3,402,595,67.6,182,6.1,417,398,1.05,126,4.2,967,32.2,1061,35.4,-3.1
Western Caro.,25-Jul,7,25,21.9,2304,72,2563,80.1,792,1744,45.4,296,800,37,424,628,67.5,135,4.2,389,583,0.67,53,1.7,1135,35.5,1033,32.3,3.2
UMES,24-Jul,7,24,22.6,1779,57.4,2228,71.9,645,1649,39.1,166,583,28.5,323,479,67.4,178,5.7,352,422,0.83,70,2.3,962,31,1152,37.2,-6.1
Alabama,17-13,17,13,56.7,2182,72.7,2141,71.4,761,1704,44.7,212,629,33.7,448,665,67.4,134,4.5,372,407,0.91,145,4.8,1122,37.4,1028,34.3,3.1
Baylor,19-11,19,11,63.3,2157,71.9,1989,66.3,767,1729,44.4,239,692,34.5,384,570,67.4,186,6.2,424,398,1.07,144,4.8,1138,37.9,940,31.3,6.6
Northwestern St.,19-Nov,11,19,36.7,1988,66.3,2210,73.7,705,1724,40.9,186,624,29.8,392,582,67.4,186,6.2,332,488,0.68,134,4.5,1067,35.6,1163,38.8,-3.2
Air Force,13-16,13,16,44.8,1990,68.6,2082,71.8,736,1616,45.5,211,632,33.4,307,456,67.3,142,4.9,389,385,1.01,51,1.8,976,33.7,973,33.6,0.1
Bowling Green,20-11,20,11,64.5,2425,78.2,2256,72.8,857,1944,44.1,248,697,35.6,463,688,67.3,211,6.8,400,377,1.06,83,2.7,1279,41.3,1115,36,5.3
Texas Southern,19-11,19,11,63.3,2396,79.9,2330,77.7,828,1862,44.5,226,701,32.2,514,764,67.3,241,8,458,453,1.01,90,3,1171,39,1161,38.7,0.3
Central Mich.,21-10,21,10,67.7,2559,82.5,2357,76,872,1924,45.3,264,717,36.8,551,820,67.2,241,7.8,406,388,1.05,101,3.3,1182,38.1,1158,37.4,0.8
Northern Ky.,24-8,24,8,75,2549,79.7,2209,69,901,1863,48.4,283,779,36.3,464,691,67.1,199,6.2,544,405,1.34,125,3.9,1183,37,1030,32.2,4.8
North Texas,20-10,20,10,66.7,2122,70.7,1880,62.7,769,1733,44.4,259,753,34.4,325,484,67.1,197,6.6,383,391,0.98,71,2.4,1117,37.2,988,32.9,4.3
Rhode Island,15-14,15,14,51.7,1997,68.9,1969,67.9,712,1688,42.2,153,556,27.5,420,626,67.1,211,7.3,347,362,0.96,118,4.1,1060,36.6,1003,34.6,2
Siena,16-15,16,15,51.6,1987,64.1,2024,65.3,722,1677,43.1,268,800,33.5,275,410,67.1,182,5.9,385,304,1.27,87,2.8,919,29.6,1038,33.5,-3.8
Portland,25-Jul,7,25,21.9,2078,64.9,2389,74.7,707,1708,41.4,216,664,32.5,448,668,67.1,175,5.5,369,425,0.87,123,3.8,1033,32.3,1197,37.4,-5.1
Chicago St.,27-Mar,3,27,10,1860,62,2548,84.9,680,1653,41.1,136,446,30.5,364,543,67,181,6,361,482,0.75,64,2.1,938,31.3,1164,38.8,-7.5
Kansas St.,23-7,23,7,76.7,1975,65.8,1778,59.3,710,1636,43.4,208,613,33.9,347,518,67,221,7.4,411,349,1.18,66,2.2,999,33.3,950,31.7,1.6
Alcorn,19-Oct,10,19,34.5,1865,64.3,2010,69.3,665,1618,41.1,201,618,32.5,334,499,66.9,222,7.7,371,453,0.82,99,3.4,1018,35.1,1014,35,0.1
Savannah St.,19-Nov,11,19,36.7,2293,76.4,2623,87.4,805,2014,40,343,1164,29.5,340,508,66.9,225,7.5,450,463,0.97,88,2.9,1136,37.9,1337,44.6,-6.7
FGCU,14-18,14,18,43.8,2280,71.3,2360,73.8,809,1787,45.3,269,724,37.2,393,588,66.8,219,6.8,449,481,0.93,133,4.2,1061,33.2,1136,35.5,-2.3
Arizona St.,20-9,20,9,69,2260,77.9,2123,73.2,774,1736,44.6,213,630,33.8,499,747,66.8,181,6.2,398,394,1.01,90,3.1,1169,40.3,1027,35.4,4.9
Holy Cross,16-17,16,17,48.5,2216,67.2,2296,69.6,848,1834,46.2,237,670,35.4,283,424,66.7,241,7.3,513,350,1.47,127,3.8,916,27.8,1190,36.1,-8.3
Loyola Chicago,20-12,20,12,62.5,2119,66.2,1943,60.7,785,1576,49.8,192,526,36.5,357,535,66.7,203,6.3,438,386,1.13,73,2.3,955,29.8,915,28.6,1.3
Prairie View,18-12,18,12,60,2194,73.1,2178,72.6,762,1766,43.1,182,591,30.8,488,733,66.6,252,8.4,378,390,0.97,48,1.6,992,33.1,1138,37.9,-4.9
ETSU,23-8,23,8,74.2,2473,79.8,2124,68.5,921,1882,48.9,247,684,36.1,384,577,66.6,230,7.4,492,443,1.11,120,3.9,1249,40.3,905,29.2,11.1
CSU Bakersfield,16-13,16,13,55.2,2080,71.7,2046,70.6,765,1779,43,203,613,33.1,347,522,66.5,191,6.6,347,381,0.91,92,3.2,1080,37.2,936,32.3,5
UAB,17-13,17,13,56.7,2114,70.5,2039,68,785,1730,45.4,205,607,33.8,339,510,66.5,193,6.4,360,346,1.04,71,2.4,1096,36.5,985,32.8,3.7
Texas St.,23-7,23,7,76.7,2191,73,1910,63.7,787,1739,45.3,225,663,33.9,392,590,66.4,206,6.9,450,397,1.13,69,2.3,1133,37.8,956,31.9,5.9
N.C. A&T,17-12,17,12,58.6,2022,69.7,2013,69.4,745,1614,46.2,204,592,34.5,328,494,66.4,194,6.7,409,386,1.06,95,3.3,946,32.6,1045,36,-3.4
UTEP,20-Aug,8,20,28.6,1812,64.7,1953,69.8,623,1535,40.6,193,592,32.6,373,562,66.4,129,4.6,300,458,0.66,81,2.9,1032,36.9,1011,36.1,0.8
Richmond,18-Dec,12,18,40,2125,70.8,2139,71.3,777,1625,47.8,230,660,34.8,341,514,66.3,233,7.8,470,317,1.48,88,2.9,870,29,1055,35.2,-6.2
Louisiana Tech,19-12,19,12,61.3,2273,73.3,2122,68.5,800,1823,43.9,241,715,33.7,432,652,66.3,180,5.8,418,363,1.15,112,3.6,1138,36.7,1104,35.6,1.1
William & Mary,14-16,14,16,46.7,2242,74.7,2300,76.7,815,1721,47.4,245,710,34.5,367,554,66.2,154,5.1,511,385,1.33,141,4.7,1031,34.4,1031,34.4,0
Southern U.,24-Jun,6,24,20,1920,64,2203,73.4,698,1597,43.7,161,500,32.2,363,548,66.2,206,6.9,342,484,0.71,76,2.5,915,30.5,989,33,-2.5
San Jose St.,25-Apr,4,25,13.8,1905,65.7,2326,80.2,666,1656,40.2,189,585,32.3,384,581,66.1,124,4.3,395,456,0.87,48,1.7,1078,37.2,1066,36.8,0.4
Alabama St.,17-Nov,11,17,39.3,1892,67.6,2024,72.3,646,1598,40.4,200,620,32.3,400,606,66,182,6.5,283,412,0.69,95,3.4,991,35.4,1028,36.7,-1.3
Little Rock,20-Oct,10,20,33.3,2239,74.6,2274,75.8,796,1640,48.5,199,563,35.3,448,679,66,168,5.6,433,490,0.88,86,2.9,1032,34.4,1029,34.3,0.1
Mississippi Val.,25-Jun,6,25,19.4,2001,64.5,2407,77.6,709,1861,38.1,169,541,31.2,414,628,65.9,173,5.6,351,400,0.88,69,2.2,1134,36.6,1243,40.1,-3.5
Coppin St.,24-Jul,7,24,22.6,1958,63.2,2354,75.9,664,1727,38.4,222,795,27.9,408,619,65.9,165,5.3,295,516,0.57,102,3.3,1127,36.4,1199,38.7,-2.3
Arkansas,16-14,16,14,53.3,2283,76.1,2187,72.9,799,1781,44.9,228,668,34.1,457,694,65.9,245,8.2,487,404,1.21,147,4.9,1011,33.7,1149,38.3,-4.6
San Francisco,21-9,21,9,70,2286,76.2,2012,67.1,837,1788,46.8,252,704,35.8,360,547,65.8,182,6.1,427,306,1.4,101,3.4,1098,36.6,1005,33.5,3.1
Georgia St.,21-9,21,9,70,2321,77.4,2212,73.7,817,1742,46.9,301,765,39.3,386,588,65.6,242,8.1,381,351,1.09,139,4.6,969,32.3,1155,38.5,-6.2
Indiana,16-14,16,14,53.3,2125,70.8,2017,67.2,780,1705,45.7,178,570,31.2,387,591,65.5,194,6.5,396,381,1.04,133,4.4,1088,36.3,1044,34.8,1.5
Old Dominion,23-7,23,7,76.7,2020,67.3,1834,61.1,721,1733,41.6,236,661,35.7,342,523,65.4,175,5.8,390,354,1.1,136,4.5,1184,39.5,1021,34,5.4
Binghamton,22-Sep,9,22,29,2023,65.3,2220,71.6,745,1734,43,256,740,34.6,277,426,65,173,5.6,309,386,0.8,143,4.6,1001,32.3,1191,38.4,-6.1
Southern Miss.,18-11,18,11,62.1,2104,72.6,1877,64.7,797,1704,46.8,228,603,37.8,282,436,64.7,231,8,492,298,1.65,98,3.4,1038,35.8,1042,35.9,-0.1
Wisconsin,21-9,21,9,70,2085,69.5,1831,61,779,1702,45.8,219,583,37.6,308,477,64.6,158,5.3,382,284,1.35,126,4.2,1049,35,1057,35.2,-0.3
Cal Poly,22-Jun,6,22,21.4,1848,66,2091,74.7,679,1652,41.1,216,663,32.6,274,425,64.5,141,5,291,326,0.89,94,3.4,942,33.6,1065,38,-4.4
Maine,26-May,5,26,16.1,1931,62.3,2198,70.9,727,1685,43.1,194,631,30.7,283,439,64.5,236,7.6,461,447,1.03,93,3,994,32.1,1034,33.4,-1.3
Southern California,15-15,15,15,50,2298,76.6,2189,73,855,1855,46.1,255,666,38.3,333,518,64.3,184,6.1,501,356,1.41,101,3.4,1085,36.2,1137,37.9,-1.7
UCF,23-6,23,6,79.3,2119,73.1,1847,63.7,726,1544,47,196,551,35.6,471,734,64.2,167,5.8,392,335,1.17,133,4.6,1071,36.9,1005,34.7,2.3
Penn,18-11,18,11,62.1,2134,73.6,2000,69,775,1700,45.6,268,753,35.6,316,494,64,192,6.6,445,370,1.2,72,2.5,1040,35.9,1034,35.7,0.2
FIU,18-12,18,12,60,2513,83.8,2426,80.9,888,2002,44.4,258,837,30.8,479,749,64,317,10.6,448,423,1.06,135,4.5,1086,36.2,1289,43,-6.8
South Fla.,19-11,19,11,63.3,2168,72.3,1987,66.2,716,1658,43.2,208,630,33,528,828,63.8,240,8,413,489,0.84,98,3.3,1173,39.1,954,31.8,7.3
CSUN,13-18,13,18,41.9,2375,76.6,2452,79.1,884,1897,46.6,216,592,36.5,391,617,63.4,199,6.4,470,390,1.21,140,4.5,1103,35.6,1187,38.3,-2.7
Eastern Mich.,15-16,15,16,48.4,2160,69.7,2152,69.4,803,1772,45.3,182,613,29.7,372,588,63.3,231,7.5,361,430,0.84,139,4.5,1124,36.3,1065,34.4,1.9
Ohio,14-16,14,16,46.7,2113,70.4,2208,73.6,782,1784,43.8,185,615,30.1,364,576,63.2,197,6.6,441,437,1.01,114,3.8,1118,37.3,1091,36.4,0.9
Tennessee Tech,23-Aug,8,23,25.8,2104,67.9,2350,75.8,742,1784,41.6,213,620,34.4,407,645,63.1,226,7.3,389,517,0.75,134,4.3,1122,36.2,1200,38.7,-2.5
UCLA,16-14,16,14,53.3,2348,78.3,2320,77.3,841,1836,45.8,233,660,35.3,433,688,62.9,180,6,444,431,1.03,122,4.1,1236,41.2,1095,36.5,4.7
Rutgers,14-15,14,15,48.3,1971,68,1975,68.1,724,1739,41.6,183,582,31.4,340,543,62.6,192,6.6,363,374,0.97,118,4.1,1137,39.2,1025,35.3,3.9
Jackson St.,18-Dec,12,18,40,1843,61.4,1979,66,676,1672,40.4,147,528,27.8,344,553,62.2,193,6.4,332,415,0.8,113,3.8,1055,35.2,1034,34.5,0.7
Alabama A&M,26-May,5,26,16.1,1880,60.6,2219,71.6,713,1740,41,178,559,31.8,276,444,62.2,228,7.4,373,479,0.78,49,1.6,989,31.9,1119,36.1,-4.2
Florida A&M,19-Dec,12,19,38.7,1927,62.2,2057,66.4,719,1640,43.8,180,489,36.8,309,503,61.4,226,7.3,355,498,0.71,111,3.6,995,32.1,1084,35,-2.9
Rider,16-14,16,14,53.3,2300,76.7,2246,74.9,816,1826,44.7,215,628,34.2,453,738,61.4,277,9.2,439,406,1.08,99,3.3,1113,37.1,1102,36.7,0.4
Bethune-Cookman,14-16,14,16,46.7,2219,74,2165,72.2,806,1830,44,197,609,32.3,410,669,61.3,223,7.4,430,478,0.9,108,3.6,1228,40.9,1131,37.7,3.2
New Hampshire,24-May,5,24,17.2,1742,60.1,1990,68.6,623,1656,37.6,261,787,33.2,235,385,61,116,4,325,356,0.91,53,1.8,987,34,1080,37.2,-3.2
Saint Louis,19-11,19,11,63.3,2033,67.8,1945,64.8,716,1711,41.8,172,561,30.7,429,716,59.9,227,7.6,392,400,0.98,123,4.1,1191,39.7,1007,33.6,6.1
Manhattan,21-Nov,11,21,34.4,1833,57.3,2011,62.8,651,1608,40.5,219,661,33.1,312,534,58.4,221,6.9,360,490,0.73,78,2.4,995,31.1,1033,32.3,-1.2
California Baptist,16-13,16,13,55.2,2285,78.8,2110,72.8,793,1746,45.4,274,747,36.7,425,543,78.3,142,4.9,332,359,0.92,81,2.8,1095,37.8,1006,34.7,3.1
North Ala.,22-Oct,10,22,31.3,2145,67,2358,73.7,744,1914,38.9,240,805,29.8,417,619,67.4,209,6.5,334,437,0.76,74,2.3,1171,36.6,1200,37.5,-0.9